AFp1,AFp2,C3,C4,P7,P8,O1,O2,timestamp
43015.887,42186.438,-38376.984,-40744.035,-40099.32,53396.797,52500.87,52207.484,10397.143209108535
43012.78,42147.254,-38067.793,-40310.277,-39671.15,53404.35,52505.566,52212.402,10397.1472324755
42945.883,42076.42,-37566.867,-39660.934,-39040.92,53411.15,52502.08,52213.54,10397.151255842464
42901.445,42072.555,-37767.652,-39693.883,-39089.938,53408.375,52495.418,52208.734,10397.155279209428
42936.18,42131.832,-38203.242,-40200.082,-39659.168,53400.91,52496.69,52206.79,10397.159302576392
43010.41,42183.242,-38401.1,-40548.008,-40117.09,53393.78,52501.32,52207.15,10397.163325943357
43012.42,42147.074,-38092.38,-40127.953,-39702.35,53401.023,52506.17,52211.508,10397.16734931032
42947.56,42076.645,-37585.285,-39418.887,-39037.703,53407.996,52504.09,52212.51,10397.171372677285
42911.617,42074.633,-37712.89,-39632.48,-39042.15,53406.832,52500.36,52210.5,10397.17539604425
42950.35,42135.004,-38161.023,-40569.242,-39602.977,53398.496,52499.105,52207.17,10397.179419411214
43029.926,42194.527,-38339.188,-40961.336,-40063.535,53390.094,52502.258,52206.926,10397.183442778178
43031.555,42162.97,-38041.863,-40552.746,-39661.74,53396.15,52506.01,52210.656,10397.187466145142
42946.105,42077.25,-37549.86,-39909.688,-39035.734,53402.652,52502.324,52210.992,10397.191489512106
42899.03,42066.34,-37744.766,-39939.19,-39077.914,53401.984,52499.31,52209.117,10397.19551287907
42935.98,42127.99,-38196.65,-40455.406,-39652.418,53394.273,52501.05,52207.418,10397.199536246037
43009.07,42181.34,-38398.8,-40818.02,-40121.918,53388.1,52506.816,52209.43,10397.203559613
43011.863,42143.297,-38087.24,-40412.11,-39719.207,53394.383,52510.996,52213.7,10397.207582979965
42941.12,42067.684,-37595.32,-39769.207,-39044.43,53398.676,52505.68,52212.734,10397.21160634693
42895.637,42061.066,-37785.758,-39804.008,-39064.145,53396.508,52499.418,52208.715,10397.215629713894
42931.62,42120.656,-38223.63,-40326.66,-39644.195,53391.434,52502.637,52208.938,10397.219653080858
43006.21,42174.723,-38432.484,-40696.805,-40116.26,53382.246,52506.28,52208.29,10397.223676447822
43011.707,42142.67,-38128.633,-40310.543,-39729.824,53388.46,52510.996,52212.96,10397.227699814786
42948.297,42073.67,-37641.074,-39670.03,-39052.074,53396.15,52509.812,52215.508,10397.23172318175
42904.867,42071.727,-37815.152,-39697.66,-39060.95,53394.54,52505.387,52212.223,10397.235746548715
42940.99,42137.152,-38232.637,-40215.57,-39632.75,53386.94,52505.88,52209.94,10397.239769915679
43013.72,42189.387,-38454.188,-40595.15,-40112.73,53378.18,52510.26,52210.836,10397.243793282643
43020.87,42153.49,-38147.656,-40221.203,-39737.848,53386.56,52517.727,52217.99,10397.247816649608
42954.824,42080.133,-37659.76,-39580.355,-39069.082,53392.574,52514.06,52218.01,10397.251840016572
42912.355,42078.367,-37815.664,-39594.977,-39076.93,53391.477,52509.523,52215.13,10397.255863383536
42946.04,42138.246,-38233.754,-40118.43,-39649.74,53382.918,52509.836,52212.805,10397.2598867505
43017.23,42191.285,-38467.375,-40509.406,-40141.766,53374.2,52513.727,52213.16,10397.263910117465
43024.918,42160.22,-38170.117,-40138.996,-39772.312,53381.574,52519.87,52219.375,10397.267933484429
42966.246,42092.805,-37657.973,-39419.848,-39074.74,53389.02,52518.26,52221.855,10397.271956851393
42923.195,42086.68,-37753.46,-39721.8,-39052.117,53388.46,52514.33,52219.73,10397.275980218357
42954.31,42144.06,-38204.99,-40640.164,-39612.68,53381.598,52514.617,52217.363,10397.280003585322
43022.19,42197.008,-38415.43,-41056.69,-40106.047,53373.35,52518.598,52217.79,10397.284026952286
43025.074,42163.46,-38132.68,-40687.73,-39741.715,53378.492,52521.793,52221.387,10397.28805031925
42961.305,42090.457,-37637.477,-40038.656,-39067.25,53385.152,52518.285,52222.37,10397.292073686214
42915.93,42083.125,-37798.5,-40050.348,-39067.92,53386.426,52515.445,52221.832,10397.296097053179
42948.9,42141.152,-38233.934,-40570.965,-39636.684,53377.844,52513.703,52217.766,10397.300120420143
43022.504,42195.938,-38462.727,-40960.465,-40128.645,53370.355,52518.44,52218.996,10397.304143787107
43028.74,42165.74,-38166.586,-40605.008,-39774.19,53375.742,52523.066,52223.152,10397.308167154071
42961.64,42091.555,-37680.504,-39958.707,-39082.473,53382.492,52520.094,52223.8,10397.312190521036
42917.34,42083.33,-37829.77,-39963.58,-39071.25,53383.074,52517.12,52222.707,10397.316213888
42948.676,42142.918,-38247.21,-40483.344,-39637.934,53375.92,52517.637,52221.43,10397.320237254964
43022.37,42199.445,-38493.28,-40885.742,-40142.594,53367.875,52522.195,52222.594,10397.324260621928
43032.27,42165.63,-38197.656,-40538.8,-39800.254,53375.25,52528.5,52228.74,10397.328283988893
42967.406,42089.855,-37709.918,-39884.723,-39097.203,53382.582,52526.062,52230.527,10397.332307355857
42918.746,42075.996,-37841.57,-39873.523,-39077.824,53380.906,52519.69,52226.215,10397.336330722821
42946.305,42132.547,-38250.85,-40384.016,-39639.074,53376.3,52522.574,52226.258,10397.340354089785
43019.016,42190.684,-38500.074,-40786.324,-40144.83,53367.9,52527.137,52226.953,10397.34437745675
43025.566,42159.703,-38211.535,-40441.727,-39807.562,53375.004,52533.035,52233.3,10397.348400823714
42961.707,42085.094,-37713.63,-39774.797,-39100.914,53382.74,52530.957,52235.715,10397.352424190678
42915.1,42073.918,-37844.32,-39757.875,-39071.832,53384.1,52528.188,52234.953,10397.356447557642
