Routine,Problem ID,Stimuli,Idea generation/Reaction time,Additional info/Feedback question,Total/Feedback answer,timestamp
One-back reaction time,10,Cntrl,0.40806476667057723,,,275110.693358556
One-back reaction time,10,Cntrl,0.45515346666797996,,,275111.3913409538
One-back reaction time,10,Cntrl,0.5247122666332871,,,275114.15859504516
One-back reaction time,10,Cntrl,0.4578562666429207,,,275116.8727765367
One-back reaction time,10,Cntrl,0.4750639666453935,,,275121.5996927218
One-back reaction time,10,Cntrl,0.4285610666847788,,,275122.27026601974
One-back reaction time,10,Cntrl,0.4359887666068971,,,275122.9485604176
One-back reaction time,10,Cntrl,0.4735356666496955,,,275125.66520640906
One-back reaction time,10,Cntrl,0.42413136671530083,,,275126.331472307
One-back reaction time,10,Cntrl,0.4716578667284921,,,275129.0442604984
Problem statement,11,Far,,,,275131.3370015913
Crosshair,11,Far,,,,275138.31989286933
Wordset 1,11,Far,,,,275141.45365755947
Idea generated,11,Far,14.05276170000434,,,275155.50787741534
Idea generated,11,Far,16.154787499981467,,,275157.60987480875
Idea generated,11,Far,20.77358059998369,,,275162.2286507943
Idea generated,11,Far,25.58785169996554,,,275167.0429794791
Idea generated,11,Far,51.4171834999579,,,275192.87235239806
Wordset 1,11,Far,,Total ideas generated,5,275201.44458407117
One-back initialize,11,Far,,,,275201.44460547116
One-back reaction time,11,Far,0.5875005667330697,,,275210.0115897443
One-back reaction time,11,Far,0.44247176666976884,,,275210.6961404421
One-back reaction time,11,Far,0.43853466666769236,,,275213.3740381337
One-back reaction time,11,Far,0.3752020666725002,,,275213.9913933318
One-back reaction time,11,Far,0.4227411666070111,,,275214.6568904297
One-back reaction time,11,Far,0.5594163666246459,,,275227.48205468943
One-back reaction time,11,Far,0.42265586665598676,,,275228.14693058736
One-back reaction time,11,Far,0.4398631666554138,,,275230.84334967885
Wordset 2,11,Far,,,,275231.19672407774
Idea generated,11,Far,7.07291583326878,,,275238.28112935554
Idea generated,11,Far,12.377274133323226,,,275243.58549943886
Idea generated,11,Far,16.49360363330925,,,275247.70180352597
Idea generated,11,Far,41.448837133299094,,,275272.6570257476
Wordset 2,11,Far,,Total ideas generated,4,275291.19519388943
Feedback,11,Far,,,,275291.23329518933
Feedback answer,11,Far,,useful,3,275294.6256242787
Feedback,11,Far,,,,275294.65004477854
Feedback answer,11,Far,,relevant,3,275296.8749238716
Feedback,11,Far,,,,275296.90699077153
Feedback answer,11,Far,,novelty,2,275299.7047723627
Feedback,11,Far,,,,275299.7278552627
Feedback answer,11,Far,,quality,3,275302.2868866546
One-back initialize,11,Far,,,,275302.28914235457
One-back reaction time,11,Far,0.47433906665537506,,,275310.761934028
One-back reaction time,11,Far,0.4772425666451454,,,275313.4781453195
One-back reaction time,11,Far,0.45642996672540903,,,275314.17713711725
One-back reaction time,11,Far,0.43827646668069065,,,275314.8579440152
One-back reaction time,11,Far,0.4751059666159563,,,275317.5755544066
One-back reaction time,11,Far,0.5908475666656159,,,275326.4310551788
Problem statement,12,Near,,,,275332.05315006117
Crosshair,12,Near,,,,275339.05655323924
Wordset 1,12,Near,,,,275340.35692343506
Idea generated,12,Near,7.538128233398311,,,275347.89950001147
Idea generated,12,Near,12.483721333381254,,,275352.8450949959
Idea generated,12,Near,20.622294333414175,,,275360.98368927033
Idea generated,12,Near,26.282576233381405,,,275366.6439556526
Idea generated,12,Near,30.05365653341869,,,275370.41503264074
Idea generated,12,Near,57.39021923340624,,,275397.7515929549
Idea generated,12,Near,59.833935333415866,,,275400.1952696472
Wordset 1,12,Near,,Total ideas generated,7,275400.3640939467
One-back initialize,12,Near,,,,275400.36413754674
One-back reaction time,12,Near,0.6066613666480407,,,275412.9615436072
One-back reaction time,12,Near,0.4903966666315682,,,275415.69395989866
One-back reaction time,12,Near,0.48826846666634083,,,275416.4248964963
One-back reaction time,12,Near,0.5093624666915275,,,275417.17643279396
One-back reaction time,12,Near,0.48976386670256034,,,275417.90880039165
Wordset 2,12,Near,,,,275430.11975255335
Idea generated,12,Near,23.523104000021704,,,275453.65306117944
Idea generated,12,Near,27.34565830003703,,,275457.47564876743
Idea generated,12,Near,43.522358200047165,,,275473.6523094167
Wordset 2,12,Near,,Total ideas generated,3,275490.14250176493
Feedback,12,Near,,,,275490.1698816648
Feedback answer,12,Near,,useful,3,275493.01385145594
Feedback,12,Near,,,,275493.0398279558
Feedback answer,12,Near,,relevant,4,275495.208468149
Feedback,12,Near,,,,275495.2342638489
Feedback answer,12,Near,,novelty,5,275500.4570643325
Feedback,12,Near,,,,275500.4871186325
Feedback answer,12,Near,,quality,4,275501.6060971289
One-back initialize,12,Near,,,,275501.6078704289
One-back reaction time,12,Near,0.48878836660878733,,,275510.10080410226
One-back reaction time,12,Near,0.4879616666585207,,,275516.84188408114
One-back reaction time,12,Near,0.47272866673301905,,,275519.5731297725
One-back reaction time,12,Near,0.47226956667145714,,,275522.287148264
