AFp1,AFp2,C3,C4,P7,P8,O1,O2,timestamp
44140.54,43639.637,31825.912,-31241.95,57465.64,44964.066,44308.535,45415.75,11421.884735745332
44189.645,43703.316,30915.502,-32759.543,57432.27,44943.414,44324.695,45414.586,11421.888729113654
44220.49,43729.49,30820.574,-33131.297,57405.785,44935.32,44338.617,45417.137,11421.892722481976
44188.863,43680.137,31730.268,-31847.258,57427.734,44952.91,44332.695,45421.63,11421.896715850298
44136.605,43621.35,32396.373,-30489.992,57471.387,44971.31,44312.535,45420.49,11421.90070921862
44137.9,43636.707,31842.586,-31177.486,57475.812,44963.64,44305.63,45414.273,11421.904702586942
44186.336,43699.65,30932.064,-32717.389,57442.71,44942.81,44321.566,45412.62,11421.908695955264
44216.98,43725.934,30825.18,-33102.22,57415.863,44934.203,44335.78,45414.52,11421.912689323586
44185.844,43677.277,31732.861,-31816.121,57438.35,44951.863,44330.684,45419.75,11421.916682691908
44133.81,43618.668,32409.65,-30442.494,57482.85,44970.727,44310.633,45419.504,11421.92067606023
44135.688,43634.36,31864.111,-31106.879,57488.71,44964.133,44304.152,45414.387,11421.924669428552
44182.223,43695.336,30956.182,-32679.234,57453.93,44941.133,44317.34,45410.473,11421.928662796874
44212.445,43721.176,30844.043,-33090.17,57426.15,44931.277,44330.348,45411.1,11421.932656165196
44180.1,43671.375,31744.596,-31808.79,57446.645,44947.12,44323.934,45414.273,11421.936649533516
44127.105,43611.54,32425.496,-30421.148,57490.652,44965.227,44303.684,45412.887,11421.940642901838
44126.434,43624.816,31892.453,-31058.33,57495.258,44957.094,44295.75,45405.914,11421.94463627016
44174.38,43687.29,30980.613,-32613.408,57462.668,44936.504,44310.633,45404.125,11421.948629638482
44207.996,43716.637,30850.012,-33032.66,57437.566,44930.0,44326.773,45407.793,11421.952623006804
44177.62,43668.805,31742.896,-31763.014,57459.047,44947.547,44321.363,45412.016,11421.956616375126
44123.438,43607.72,32435.824,-30384.447,57502.457,44965.406,44300.105,45410.004,11421.960609743448
44121.695,43619.562,31907.652,-31013.984,57506.746,44956.824,44291.168,45402.07,11421.96460311177
44171.99,43684.54,30999.59,-32585.96,57476.64,44938.72,44308.668,45402.137,11421.968596480092
